iter	Passed	Remaining
170	432	2099
171	435	2096
172	437	2093
173	440	2089
174	442	2085
175	444	2082
176	447	2079
177	450	2080
178	452	2076
179	455	2073
180	457	2069
181	459	2066
182	462	2062
183	464	2062
184	467	2058
185	469	2054
186	471	2051
187	474	2048
188	476	2044
189	478	2041
190	481	2039
191	483	2036
192	485	2031
193	488	2028
194	490	2025
195	492	2022
196	495	2020
197	498	2019
198	500	2015
199	503	2012
200	505	2009
201	507	2006
202	510	2003
203	513	2002
204	515	2000
205	518	1997
206	521	1996
207	523	1994
208	525	1990
209	528	1988
210	531	1986
211	533	1983
212	535	1980
213	538	1976
214	540	1973
215	542	1970
216	545	1969
217	548	1966
218	550	1964
219	553	1961
220	555	1958
221	557	1954
222	560	1952
223	563	1950
224	565	1947
225	568	1945
226	570	1942
227	572	1939
228	575	1937
229	578	1936
230	580	1933
231	583	1931
232	585	1928
233	588	1925
234	590	1922
235	594	1925
236	597	1923
237	599	1920
238	602	1918
239	605	1916
240	607	1914
241	611	1914
242	614	1913
243	616	1910
244	618	1907
245	621	1904
246	623	1900
247	626	1899
248	628	1896
249	631	1893
250	633	1891
251	636	1888
252	638	1885
253	641	1883
254	644	1882
255	647	1881
256	649	1878
257	652	1876
258	654	1873
259	661	1882
260	663	1879
261	666	1877
262	669	1874
263	672	1874
264	679	1884
265	682	1884
266	685	1881
267	687	1878
268	690	1877
269	693	1875
270	696	1873
271	698	1870
272	701	1867
273	703	1864
274	706	1863
275	709	1861
276	712	1858
277	714	1855
278	716	1852
279	719	1849
280	721	1846
281	724	1844
282	727	1842
283	729	1839
284	732	1836
285	734	1833
286	736	1830
287	740	1829
288	742	1827
289	745	1824
290	747	1820
291	749	1817
292	752	1815
293	754	1812
294	757	1810
295	759	1807
296	762	1803
297	764	1800
298	766	1797
299	769	1794
300	772	1792
301	774	1790
302	777	1787
303	779	1784
304	781	1781
305	784	1778
306	786	1775
307	789	1773
308	793	1773
309	796	1773
310	799	1770
311	801	1768
312	805	1767
313	808	1766
314	810	1763
315	813	1760
316	815	1757
317	818	1754
318	821	1753
319	824	1751
320	826	1748
321	828	1744
322	831	1741
323	833	1739
324	836	1738
325	839	1735
326	841	1732
327	844	1729
328	846	1726
329	848	1723
330	851	1720
331	854	1719
332	856	1716
333	859	1714
334	862	1711
335	864	1709
336	867	1707
337	871	1705
338	873	1703
339	876	1700
340	878	1697
341	880	1695
342	884	1693
343	887	1691
344	889	1688
345	891	1685
346	893	1682
347	896	1679
348	900	1678
349	902	1676
350	905	1674
351	908	1671
352	910	1669
353	914	1669
354	917	1667
355	920	1664
356	922	1661
357	925	1659
358	928	1657
359	932	1657
360	937	1659
361	940	1657
362	942	1654
363	945	1651
364	949	1651
365	951	1648
366	954	1646
367	957	1644
368	960	1642
369	964	1641
370	966	1639
371	969	1636
372	972	1634
373	974	1631
374	976	1628
375	979	1625
376	982	1623
377	985	1620
378	987	1618
379	990	1615
380	993	1613
381	996	1611
382	998	1608
383	1000	1605
384	1003	1602
385	1005	1599
386	1007	1596
387	1009	1592
388	1012	1590
389	1015	1587
390	1017	1584
391	1019	1581
392	1022	1578
393	1024	1575
394	1027	1573
395	1029	1570
396	1032	1567
397	1034	1564
398	1036	1561
399	1039	1558
400	1041	1555
401	1044	1553
402	1046	1550
403	1049	1547
404	1052	1545
405	1054	1542
406	1056	1539
407	1059	1537
408	1061	1534
409	1064	1531
410	1066	1528
411	1069	1525
412	1071	1522
413	1073	1519
414	1076	1517
415	1079	1515
416	1081	1512
417	1083	1509
418	1086	1506
419	1089	1504
420	1091	1501
421	1094	1499
422	1097	1496
423	1099	1493
424	1101	1490
425	1104	1487
426	1107	1485
427	1109	1483
428	1112	1480
429	1114	1477
430	1116	1474
431	1119	1471
432	1121	1468
433	1123	1465
434	1126	1463
435	1128	1460
436	1131	1457
437	1133	1454
438	1135	1451
439	1138	1448
440	1141	1446
441	1143	1443
442	1146	1441
443	1148	1438
444	1150	1435
445	1152	1432
446	1155	1429
447	1158	1427
448	1160	1424
449	1163	1421
450	1165	1418
451	1167	1415
452	1170	1412
453	1172	1410
454	1175	1408
455	1177	1405
456	1181	1403
457	1183	1400
458	1185	1397
459	1188	1395
460	1191	1393
461	1194	1390
462	1196	1387
463	1198	1384
464	1200	1381
465	1203	1378
466	1206	1377
467	1209	1374
468	1211	1371
469	1214	1369
470	1216	1366
471	1218	1363
472	1222	1361
473	1224	1359
474	1227	1356
475	1229	1353
476	1231	1350
477	1234	1347
478	1236	1345
479	1239	1342
480	1241	1339
481	1243	1336
482	1246	1334
483	1248	1331
484	1250	1328
485	1253	1325
486	1255	1322
487	1257	1319
488	1260	1316
489	1262	1314
490	1265	1311
491	1267	1308
492	1270	1306
493	1272	1303
494	1274	1300
495	1277	1297
496	1279	1295
497	1282	1292
498	1284	1289
499	1287	1287
500	1289	1284
501	1292	1282
502	1295	1279
503	1297	1276
504	1299	1273
505	1302	1271
506	1304	1268
507	1307	1265
508	1310	1263
509	1312	1261
510	1315	1258
511	1318	1256
512	1320	1253
513	1323	1251
514	1325	1248
515	1328	1245
516	1330	1242
517	1333	1240
518	1335	1237
519	1337	1235
520	1340	1232
521	1342	1229
522	1344	1226
523	1347	1223
524	1350	1221
525	1352	1218
526	1354	1216
527	1357	1213
528	1359	1210
529	1362	1208
530	1364	1205
531	1367	1202
532	1370	1200
533	1372	1197
534	1375	1195
535	1378	1193
536	1381	1190
537	1384	1188
538	1386	1186
539	1389	1183
540	1391	1180
541	1394	1178
542	1396	1175
543	1399	1173
544	1401	1170
545	1404	1167
546	1406	1164
547	1409	1162
548	1411	1159
549	1414	1157
550	1416	1154
551	1419	1151
552	1421	1149
553	1423	1146
554	1426	1143
555	1428	1140
556	1431	1138
557	1433	1135
558	1435	1132
559	1438	1130
560	1441	1127
561	1443	1124
562	1445	1121
563	1447	1119
564	1450	1116
565	1452	1113
566	1454	1111
567	1457	1108
568	1459	1105
569	1461	1102
570	1464	1100
571	1466	1097
572	1468	1094
573	1471	1091
574	1473	1089
575	1475	1086
576	1478	1083
577	1481	1081
578	1483	1078
579	1485	1075
580	1488	1073
581	1490	1070
582	1492	1067
583	1495	1065
584	1497	1062
585	1499	1059
586	1502	1056
587	1504	1054
588	1506	1051
589	1508	1048
590	1511	1045
591	1513	1043
592	1515	1040
593	1518	1037
594	1520	1034
595	1522	1032
596	1524	1029
597	1527	1026
598	1529	1024
599	1531	1021
600	1534	1018
601	1536	1015
602	1538	1013
603	1541	1010
604	1543	1007
605	1545	1005
606	1548	1002
607	1550	999
608	1552	996
609	1555	994
610	1557	991
611	1560	989
612	1563	986
613	1565	984
614	1567	981
615	1569	978
616	1572	975
617	1574	973
618	1578	971
619	1580	968
620	1583	966
621	1585	963
622	1587	960
623	1589	958
624	1592	955
625	1594	952
626	1596	950
627	1599	947
628	1601	944
629	1603	942
630	1606	939
631	1608	936
632	1611	934
633	1613	931
634	1615	928
635	1618	926
636	1620	923
637	1622	920
638	1625	918
639	1627	915
640	1629	912
641	1631	910
642	1634	907
643	1636	904
644	1638	902
645	1641	899
646	1643	896
647	1646	894
648	1648	891
649	1650	888
650	1653	886
651	1655	883
652	1657	880
653	1660	878
654	1662	875
655	1664	872
656	1666	870
657	1669	867
658	1671	864
659	1674	862
660	1676	860
661	1679	857
662	1681	854
663	1683	852
664	1686	849
665	1688	846
666	1690	844
667	1693	841
668	1695	838
669	1697	836
670	1700	833
671	1702	830
672	1704	828
673	1707	825
674	1709	823
675	1711	820
676	1714	817
677	1716	815
678	1718	812
679	1721	809
680	1723	807
681	1725	804
682	1727	801
683	1730	799
684	1732	796
685	1734	794
686	1736	791
687	1739	788
688	1741	786
689	1743	783
690	1746	780
691	1748	778
692	1750	775
693	1753	773
694	1756	770
695	1758	768
696	1760	765
697	1762	762
698	1764	760
699	1767	757
700	1770	755
701	1773	752
702	1776	750
703	1778	747
704	1780	745
705	1782	742
706	1785	739
707	1787	737
708	1790	734
709	1792	732
710	1794	729
711	1796	726
712	1799	724
713	1801	721
714	1803	719
715	1806	716
716	1808	713
717	1810	711
718	1813	708
719	1815	706
720	1817	703
721	1820	700
722	1822	698
723	1824	695
724	1826	692
725	1829	690
726	1831	687
727	1833	685
728	1836	682
729	1838	679
730	1840	677
731	1843	674
732	1845	672
733	1847	669
734	1849	666
735	1852	664
736	1854	661
737	1857	659
738	1859	656
739	1861	654
740	1864	651
741	1866	649
742	1869	646
743	1871	644
744	1874	641
745	1876	638
746	1878	636
747	1880	633
748	1883	631
749	1886	628
750	1888	626
751	1890	623
752	1892	620
753	1895	618
754	1897	615
755	1899	613
756	1902	610
757	1904	607
758	1906	605
759	1908	602
760	1911	600
761	1913	597
762	1915	595
763	1918	592
764	1920	589
765	1922	587
766	1925	584
767	1927	582
768	1930	579
769	1932	577
770	1935	574
771	1937	572
772	1940	569
773	1942	567
774	1945	564
775	1947	562
776	1949	559
777	1952	557
778	1955	554
779	1957	552
780	1960	549
781	1962	547
782	1965	544
783	1968	542
784	1970	539
785	1973	537
786	1975	534
787	1977	532
788	1979	529
789	1982	527
790	1985	524
791	1987	521
792	1989	519
793	1991	516
794	1994	514
795	1996	511
796	1998	509
797	2001	506
798	2003	504
799	2005	501
800	2008	498
801	2010	496
802	2012	493
803	2015	491
804	2017	488
805	2019	486
806	2022	483
807	2024	480
808	2026	478
809	2028	475
810	2031	473
811	2034	470
812	2036	468
813	2038	465
814	2040	463
815	2042	460
816	2045	458
817	2047	455
818	2049	453
819	2052	450
820	2054	447
821	2056	445
822	2058	442
823	2061	440
824	2063	437
825	2066	435
826	2068	432
827	2070	430
828	2073	427
829	2075	425
830	2077	422
831	2080	420
832	2082	417
833	2084	414
834	2087	412
835	2089	409
836	2091	407
837	2093	404
838	2096	402
839	2098	399
840	2100	397
841	2102	394
842	2105	392
843	2107	389
844	2109	386
845	2112	384
846	2114	381
847	2116	379
848	2119	376
849	2121	374
850	2123	371
851	2125	369
852	2128	366
853	2130	364
854	2132	361
855	2134	359
856	2137	356
857	2140	354
858	2143	351
859	2146	349
860	2148	346
861	2150	344
862	2153	341
863	2155	339
864	2158	336
865	2162	334
866	2164	332
867	2168	329
868	2171	327
869	2173	324
870	2178	322
871	2180	320
872	2183	317
873	2186	315
874	2188	312
875	2191	310
876	2195	307
877	2197	305
878	2200	302
879	2203	300
880	2205	297
881	2209	295
882	2212	293
883	2215	290
884	2218	288
885	2221	285
886	2224	283
887	2227	280
888	2230	278
889	2233	275
890	2235	273
891	2237	270
892	2240	268
893	2243	266
894	2245	263
895	2248	260
896	2250	258
897	2252	255
898	2255	253
899	2258	250
900	2260	248
901	2262	245
902	2265	243
903	2267	240
904	2269	238
905	2272	235
906	2275	233
907	2277	230
908	2279	228
909	2281	225
910	2284	223
911	2286	220
912	2289	218
913	2292	215
914	2294	213
915	2297	210
916	2299	208
917	2301	205
918	2304	203
919	2306	200
920	2308	198
921	2311	195
922	2313	192
923	2315	190
924	2318	187
925	2320	185
926	2323	182
927	2325	180
928	2327	177
929	2329	175
930	2331	172
931	2334	170
932	2337	167
933	2339	165
934	2342	162
935	2345	160
936	2347	157
937	2349	155
938	2352	152
939	2354	150
940	2357	147
941	2360	145
942	2362	142
943	2365	140
944	2367	137
945	2370	135
946	2373	132
947	2375	130
948	2377	127
949	2379	125
950	2382	122
951	2384	120
952	2387	117
953	2389	115
954	2391	112
955	2394	110
956	2396	107
957	2398	105
958	2401	102
959	2403	100
960	2405	97
961	2408	95
962	2410	92
963	2412	90
964	2414	87
965	2417	85
966	2419	82
967	2421	80
968	2424	77
969	2426	75
970	2428	72
971	2430	70
972	2433	67
973	2435	65
974	2437	62
975	2440	60
976	2442	57
977	2444	54
978	2447	52
979	2449	49
980	2452	47
981	2454	44
982	2456	42
983	2459	39
984	2461	37
985	2464	34
986	2467	32
987	2469	29
988	2472	27
989	2474	24
990	2476	22
991	2478	19
992	2481	17
993	2483	14
994	2486	12
995	2488	9
996	2490	7
997	2493	4
998	2495	2
999	2497	0
