iter	RMSE
0	0.13371455
1	0.1298738912
2	0.1261207206
3	0.1227601337
4	0.119269698
5	0.1161697797
6	0.1131553387
7	0.1109010817
8	0.1081795149
9	0.1056912491
10	0.1031709376
11	0.1009396587
12	0.09882292829
13	0.09661761547
14	0.09454935881
15	0.09266412581
16	0.09086803736
17	0.08914158539
18	0.08739865581
19	0.08571811991
20	0.08420736248
21	0.0828015203
22	0.08155860005
23	0.08025598933
24	0.0790617984
25	0.07796693631
26	0.07688922058
27	0.07584910685
28	0.07485813417
29	0.07390473908
30	0.0730706086
31	0.07215759869
32	0.07126910257
33	0.07044679466
34	0.06973579594
35	0.0689564707
36	0.06820344804
37	0.06748773539
38	0.06682490357
39	0.06623343992
40	0.06571285328
41	0.0652478896
42	0.06471484744
43	0.06428701536
44	0.06374811565
45	0.06320536652
46	0.06280273958
47	0.06234506493
48	0.06195041267
49	0.06156546
50	0.06131743765
51	0.0609661732
52	0.06071191011
53	0.06045284574
54	0.06017610966
55	0.05984524486
56	0.05960084315
57	0.05938656759
58	0.05903881903
59	0.05882472792
60	0.05852692828
61	0.05837218954
62	0.05814625394
63	0.05794574437
64	0.05777161144
65	0.05750575368
66	0.05731034184
67	0.05711348304
68	0.0569495255
69	0.05681566698
70	0.05665437727
71	0.05648727224
72	0.05627840778
73	0.05606173043
74	0.05584562911
75	0.05566870221
76	0.05563515437
77	0.0555268997
78	0.05540280022
79	0.05534239439
80	0.05523977905
81	0.05513192926
82	0.05504799705
83	0.05500892558
84	0.05489464657
85	0.05485451899
86	0.05472798335
87	0.05463005464
88	0.05459013069
89	0.05443758567
90	0.05436885838
91	0.05431505321
92	0.05415928812
93	0.05410670756
94	0.05406353541
95	0.0539853221
96	0.05387832381
97	0.0538024624
98	0.05375066922
99	0.053657663
100	0.05361398942
101	0.05355364965
102	0.0534220674
103	0.05339142724
104	0.05329955273
105	0.05314894152
106	0.05306095187
107	0.0529939115
108	0.05290547042
109	0.05287297944
110	0.05281420618
111	0.05277441562
112	0.0526263963
113	0.05257118784
114	0.0525118961
115	0.05245147491
116	0.05232640961
117	0.05229317391
118	0.05220856356
119	0.05211699776
120	0.05205373648
121	0.05187977573
122	0.05180934475
123	0.05172505094
124	0.05165468851
125	0.05155690697
126	0.05151451998
127	0.05137988241
128	0.05127247552
129	0.05111762918
130	0.05104596681
131	0.0510281796
132	0.05086871909
133	0.05080512372
134	0.05073363768
135	0.05068937762
136	0.05061933575
137	0.05056999532
138	0.05047538719
139	0.05038482976
140	0.05028467507
141	0.05025533548
142	0.05023469399
143	0.05013874355
144	0.05004944038
145	0.04999227073
146	0.04988552349
147	0.04973122953
148	0.04969604962
149	0.04961151441
150	0.04955466
151	0.04946365262
152	0.04935197275
153	0.04925212543
154	0.04913522629
155	0.0490966013
156	0.04899204544
157	0.04885410245
158	0.04879799681
159	0.04871158964
160	0.04861754275
161	0.04858926655
162	0.04850890648
163	0.04843610471
164	0.04840056983
165	0.04832705543
166	0.04825564064
167	0.04822390531
168	0.04820459237
169	0.04810233765
170	0.04799150464
171	0.04794374941
172	0.04789178634
173	0.04779947623
174	0.04771364591
175	0.0476602258
176	0.04760701155
177	0.04753950414
178	0.04748631962
179	0.04737081931
180	0.04723057731
181	0.04713890665
182	0.04699796384
183	0.04692295824
184	0.04688374039
185	0.04684424527
186	0.04666670471
187	0.04662305257
188	0.04652011917
189	0.0464543729
190	0.04630016318
191	0.04624549486
192	0.04620872249
193	0.04615990412
194	0.04612634896
195	0.04608040661
196	0.04600600791
197	0.04595328526
198	0.04581333842
199	0.0457934493
200	0.04576236826
201	0.04564453268
202	0.04555705142
203	0.04553703341
204	0.04547158451
205	0.04538286233
206	0.04527978472
207	0.0452396312
208	0.04512577509
209	0.04510745747
210	0.04500243926
211	0.04487908295
212	0.0448261997
213	0.04472247826
